fips,name,date,filings_count
33,New Hampshire,2022-03-28 12:00:00,138
33,New Hampshire,2022-05-02 12:00:00,196
33,New Hampshire,2022-06-06 12:00:00,168
33,New Hampshire,2022-07-18 12:00:00,248
33,New Hampshire,2022-08-15 12:00:00,256
33,New Hampshire,2022-10-24 12:00:00,236
33,New Hampshire,2021-01-25 12:00:00,122
33,New Hampshire,2019-04-08 12:00:00,148
33,New Hampshire,2019-04-29 12:00:00,246
33,New Hampshire,2019-07-15 12:00:00,302
33,New Hampshire,2019-08-12 12:00:00,326
33,New Hampshire,2019-09-09 12:00:00,238
33,New Hampshire,2019-12-02 12:00:00,200
33,New Hampshire,2022-02-14 12:00:00,268
33,New Hampshire,2022-02-28 12:00:00,210
33,New Hampshire,2022-08-08 12:00:00,200
33,New Hampshire,2022-09-12 12:00:00,218
33,New Hampshire,2022-11-14 12:00:00,250
33,New Hampshire,2021-03-22 12:00:00,124
33,New Hampshire,2021-10-11 12:00:00,172
33,New Hampshire,2021-10-18 12:00:00,234
33,New Hampshire,2021-11-15 12:00:00,184
33,New Hampshire,2021-11-29 12:00:00,194
33,New Hampshire,2021-02-15 12:00:00,96
33,New Hampshire,2021-06-07 12:00:00,126
33,New Hampshire,2021-08-23 12:00:00,126
33,New Hampshire,2021-11-08 12:00:00,178
33,New Hampshire,2020-05-18 12:00:00,34
33,New Hampshire,2020-10-26 12:00:00,148
33,New Hampshire,2020-11-16 12:00:00,120
33,New Hampshire,2019-01-14 12:00:00,310
72,Puerto Rico,2023-06-12 12:00:00,130
55,Wisconsin,2022-10-31 12:00:00,483
55,Wisconsin,2023-09-11 12:00:00,603
72,Puerto Rico,2023-12-04 12:00:00,89
72,Puerto Rico,2021-07-26 12:00:00,24
72,Puerto Rico,2020-02-10 12:00:00,136
72,Puerto Rico,2022-09-05 12:00:00,74
55,Wisconsin,2023-09-04 12:00:00,380
55,Wisconsin,2021-11-08 12:00:00,357
72,Puerto Rico,2020-08-24 12:00:00,26
55,Wisconsin,2022-12-12 12:00:00,536
55,Wisconsin,2023-12-18 12:00:00,733
72,Puerto Rico,2024-01-22 12:00:00,147
72,Puerto Rico,2021-05-24 12:00:00,51
55,Wisconsin,2023-10-30 12:00:00,446
72,Puerto Rico,2020-01-27 12:00:00,76
55,Wisconsin,2023-07-17 12:00:00,692
72,Puerto Rico,2020-02-03 12:00:00,119
